TopicName MS,ID Topic MS,main_keywords
SonKim Land Corporate MS,5ff52f9c3cb8f0afa747233b,"sonkim land corporate, sonkimlandcorporate,bất động sản Son Kim, BDS Son Kim, Son Kim Land, bất động sản SonKim, #SonKimLand, BDS SonKim, Andy Han, Mr.Andy Han Suk Jung, Ông Han Suk Jung, Andy Han Suk Jung, Giám đốc điều hành SonKim Land, Tuấn Sơn Kim, CEO Nguyễn Hoàng Tuấn, người sáng lập Sơn Kim Land, The Berkley, Blue Ocean Resort - Phan Thiet, Indochine Park Tower, Office Complex A, Office Complex B, Empress Tower, Sentinel Place, Sơn kim Land Projects, The Metropole Thu Thiem, The Opera Residence, The Crest Residence, The Galleria Residence, Serenity Sky Villas, The Nassim, Gateway Thao Dien, The 9 Stellars, Sơn Kim Land"
The Metropole Thủ Thiêm MS,5ff52fc83cb8f0afa747235d,"the metropole thủ thiêm, themetropolethuthiem,dự án Metropole, metropole thủ thiêm, căn hộ metropole"
Indochine Park Tower MS,5ff529ba3cb8f0afa7471b49,"Indochine Park Tower, IndochineParktower"
Office Complex A MS,5ff529ee3cb8f0afa7471c0e,"Complex A, ComplexA"
Office Complex B MS,5ff52a0e3cb8f0afa7471c36,"Complex B, ComplexB"
Empress Tower MS,5ff52a333cb8f0afa7471d14,Empress Tower
Sentinel Place MS,5ff52a573cb8f0afa7471d49,Sentinel Place
The Opera Residence MS,5ff533cf3cb8f0afa74729a7,"the opera residence, theoperaresidence,The Opera Residence, dự án Opera Residence, căn hộ Opera Residence, Opera Residence Thủ Thiêm, Opera Residence Quận 2, Metropole giai đoạn 3"
The Crest Residence MS,5ff533fb3cb8f0afa74729e8,"the crest residence, thecrestresidence,dự án Crest Residence, căn hộ Crest Residence, tháp Crest Residence, Crest Residence quận 2, metropole giai đoạn 2"
The Galleria Residence MS,5ff534273cb8f0afa7472a01,"the galleria residence, thegalleriaresidence,dự án Galleria Residence, căn hộ Galleria Residence, tháp Galleria Residence, Galleria Residence Thủ Thiêm, Galleria Residence quận 2, metropole giai đoạn 1"
Serenity Sky Villas MS,5ff534673cb8f0afa7472a13,"serenity sky villas, serenityskyvillas,biệt thự trên không Serenity, chung cư Serenity Sky, Serenity quận 3, căn hộ Serenity Sky, dự án Serenity Sky"
